クラスター数,delta,AUC
7,-7.428,0.7018728994456092
7,-7.429,0.7060978957641445
7,-7.430000000000001,0.7063529153539077
7,-7.431000000000001,0.7032357091282239
7,-7.432000000000001,0.7021402168881528
7,-7.433000000000002,0.701636899239876
7,-7.434000000000002,0.701216143928339
7,-7.435000000000002,0.7018502805419844
7,-7.436000000000003,0.7015575014049051
7,-7.437000000000003,0.7029292603147077
5,-7.428,0.7045295270069386
5,-7.429,0.7076958781069529
5,-7.430000000000001,0.70526177126876
5,-7.431000000000001,0.7026670558491264
5,-7.432000000000001,0.7021799916808404
5,-7.433000000000002,0.7024447293665077
5,-7.434000000000002,0.7013777318057233
5,-7.435000000000002,0.7028810057094168
5,-7.436000000000003,0.7030579507277361
5,-7.437000000000003,0.703152557999915
3,-7.428,0.7061773077624864
3,-7.429,0.7061314123701508
3,-7.430000000000001,0.7057307690455559
3,-7.431000000000001,0.7036631697843012
3,-7.432000000000001,0.702627566347199
3,-7.433000000000002,0.7029753802976421
3,-7.434000000000002,0.702771573434388
3,-7.435000000000002,0.7029142957014856
3,-7.436000000000003,0.7030542277844793
3,-7.437000000000003,0.7034482608614543
