手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",auc,"-6.5, -6.7, -6.9, -7.1000000000000005, -7.300000000000001, -7.500000000000001, -7.700000000000001, -7.900000000000001, -8.100000000000001, -8.3, -8.500000000000002, -8.700000000000003, -8.900000000000002",無し
RSCCMM-CF,1,0.6940422547134444,-6.5,0
RSCCMM-CF,2,0.704993001314737,-6.7,0
RSCCMM-CF,3,0.7096716336427543,-7.1000000000000005,0
RSCCMM-CF,4,0.7097752439001214,-6.9,0
RSCCMM-CF,5,0.7085421691950734,-7.1000000000000005,0
RSCCMM-CF,6,0.70685142090069,-7.1000000000000005,0
RSCCMM-CF,7,0.7050407948543855,-6.7,0
RSCCMM-CF,8,0.7072134590367003,-7.1000000000000005,0
RSCCMM-CF,9,0.7029398555344208,-7.300000000000001,0
RSCCMM-CF,10,0.7041059322107104,-7.300000000000001,0
RSCCMM-CF,11,0.7001572639649772,-7.300000000000001,0
RSCCMM-CF,12,0.7017087434327938,-7.300000000000001,0
RSCCMM-CF,13,0.6986901695336917,-6.9,0
RSCCMM-CF,14,0.6994258210195519,-7.300000000000001,0
RSCCMM-CF,15,0.6982324268386018,-7.300000000000001,0
RSCCMM-CF,16,0.6981480556232216,-7.1000000000000005,0
RSCCMM-CF,17,0.6967855389298628,-8.900000000000002,0
RSCCMM-CF,18,0.69776111868395,-7.500000000000001,0
RSCCMM-CF,19,0.6967455336087198,-7.700000000000001,0
RSCCMM-CF,20,0.6975248115572464,-7.300000000000001,0
RSCCMM-CF,21,0.6959217791967491,-7.300000000000001,0
RSCCMM-CF,22,0.6952108122863121,-6.9,0
RSCCMM-CF,23,0.6954176734511242,-8.700000000000003,0
RSCCMM-CF,24,0.6940668840042638,-7.1000000000000005,0
RSCCMM-CF,25,0.6949876628952201,-7.700000000000001,0
RSCCMM-CF,26,0.6929381313458517,-7.300000000000001,0
RSCCMM-CF,27,0.693071242849714,-8.700000000000003,0
RSCCMM-CF,28,0.6929472394842636,-8.700000000000003,0
RSCCMM-CF,29,0.6937574353472479,-8.900000000000002,0
RSCCMM-CF,30,0.6928609885923677,-8.700000000000003,0
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",auc,1.0,0.0
HCCMM-CF,1,0.6940422547134444,1.0,0.0
HCCMM-CF,2,0.695640401297115,1.0,0.0
HCCMM-CF,3,0.6934067512866627,1.0,0.0
HCCMM-CF,4,0.693745410946006,1.0,0.0
HCCMM-CF,5,0.691210487489267,1.0,0.0
HCCMM-CF,6,0.6887864787681208,1.0,0.0
HCCMM-CF,7,0.6905946722918751,1.0,0.0
HCCMM-CF,8,0.6876671106711377,1.0,0.0
HCCMM-CF,9,0.6913791677248486,1.0,0.0
HCCMM-CF,10,0.6920744683607942,1.0,0.0
HCCMM-CF,11,0.6910202117054781,1.0,0.0
HCCMM-CF,12,0.685718390596089,1.0,0.0
HCCMM-CF,13,0.6874035067715001,1.0,0.0
HCCMM-CF,14,0.6862552662903858,1.0,0.0
HCCMM-CF,15,0.684013033345254,1.0,0.0
HCCMM-CF,16,0.6796721001065956,1.0,0.0
HCCMM-CF,17,0.6884064385831247,1.0,0.0
HCCMM-CF,18,0.6853493866000486,1.0,0.0
HCCMM-CF,19,0.6847098750395199,1.0,0.0
HCCMM-CF,20,0.6803803995349182,1.0,0.0
HCCMM-CF,21,0.6883826247402055,1.0,0.0
HCCMM-CF,22,0.6821226938114069,1.0,0.0
HCCMM-CF,23,0.6782251707344041,1.0,0.0
HCCMM-CF,24,0.6838511531158922,1.0,0.0
HCCMM-CF,25,0.6782667032927163,1.0,0.0
HCCMM-CF,26,0.6849539911164553,1.0,0.0
HCCMM-CF,27,0.6843250458257533,1.0,0.0
HCCMM-CF,28,0.6764464508148432,1.0,0.0
HCCMM-CF,29,0.6797447095226002,1.0,0.0
HCCMM-CF,30,0.6762360237931112,1.0,0.0
