手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",auc,"-6.5, -6.7, -6.9, -7.1000000000000005, -7.300000000000001, -7.500000000000001, -7.700000000000001, -7.900000000000001, -8.100000000000001",無し
RSCCMM-CF,1,0.6940422547134445,-6.5,0
RSCCMM-CF,2,0.707827867931993,-6.9,0
RSCCMM-CF,3,0.7095183328927841,-6.9,0
RSCCMM-CF,4,0.7101830576877559,-6.9,0
RSCCMM-CF,5,0.7086515843357988,-6.9,0
RSCCMM-CF,6,0.7062163010108444,-7.1000000000000005,0
RSCCMM-CF,7,0.705516587972489,-7.1000000000000005,0
RSCCMM-CF,8,0.7051701020864755,-7.1000000000000005,0
RSCCMM-CF,9,0.703208175901787,-7.300000000000001,0
RSCCMM-CF,10,0.7016979871221427,-7.300000000000001,0
RSCCMM-CF,11,0.7002795673288726,-7.300000000000001,0
RSCCMM-CF,12,0.7002077388078911,-7.300000000000001,0
RSCCMM-CF,13,0.7003056340193807,-7.1000000000000005,0
RSCCMM-CF,14,0.6989073550981908,-7.300000000000001,0
RSCCMM-CF,15,0.6981478172083693,-7.1000000000000005,0
RSCCMM-CF,16,0.6980705673409661,-7.300000000000001,0
RSCCMM-CF,17,0.697966138180411,-7.300000000000001,0
RSCCMM-CF,18,0.696518659417473,-7.500000000000001,0
RSCCMM-CF,19,0.6957828593542412,-7.300000000000001,0
RSCCMM-CF,20,0.6965143161208175,-7.1000000000000005,0
RSCCMM-CF,21,0.6956230488422195,-7.300000000000001,0
RSCCMM-CF,22,0.6944137430613504,-7.300000000000001,0
RSCCMM-CF,23,0.6937907339549396,-7.300000000000001,0
RSCCMM-CF,24,0.6939401371403693,-7.300000000000001,0
RSCCMM-CF,25,0.6928061739080859,-7.1000000000000005,0
RSCCMM-CF,26,0.6918507937659699,-7.500000000000001,0
RSCCMM-CF,27,0.6924443499999137,-7.500000000000001,0
RSCCMM-CF,28,0.6916674112811688,-7.300000000000001,0
RSCCMM-CF,29,0.6919258322492369,-7.500000000000001,0
RSCCMM-CF,30,0.6919572615462759,-8.100000000000001,0
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",auc,"1.0001, 1.0002, 1.0003, 1.0004, 1.0005, 1.0006, 1.0007, 1.0008, 1.0009, 1.001, 1.0010999999999999",0.0
RCCMM-CF,1,0.6940422547134445,1.0001,0.0
RCCMM-CF,2,0.697588240273797,1.0005,0.0
RCCMM-CF,3,0.7010627566630905,1.0005,0.0
RCCMM-CF,4,0.6990088403536141,1.0005,0.0
RCCMM-CF,5,0.7024321632001492,1.0005,0.0
RCCMM-CF,6,0.698058750256987,1.0003,0.0
RCCMM-CF,7,0.6983304533510244,1.0004,0.0
RCCMM-CF,8,0.7022404050979314,1.0005,0.0
RCCMM-CF,9,0.6986950967739707,1.0006,0.0
RCCMM-CF,10,0.6957344749603938,1.0007,0.0
RCCMM-CF,11,0.6947819212436271,1.0004,0.0
RCCMM-CF,12,0.6958415508713373,1.0006,0.0
RCCMM-CF,13,0.6945696007242282,1.0003,0.0
RCCMM-CF,14,0.6942498656756901,1.0002,0.0
RCCMM-CF,15,0.6979965550781501,1.0006,0.0
RCCMM-CF,16,0.6959781660369405,1.0004,0.0
RCCMM-CF,17,0.6928099885457211,1.0004,0.0
RCCMM-CF,18,0.6926160397910932,1.0006,0.0
RCCMM-CF,19,0.6906639577210996,1.0003,0.0
RCCMM-CF,20,0.6910814359484678,1.0005,0.0
RCCMM-CF,21,0.6942136300734421,1.0004,0.0
RCCMM-CF,22,0.6921110391259504,1.0004,0.0
RCCMM-CF,23,0.6926651912588131,1.0006,0.0
RCCMM-CF,24,0.6879607652080171,1.0005,0.0
RCCMM-CF,25,0.6871762594091803,1.0004,0.0
RCCMM-CF,26,0.6883193791539037,1.0004,0.0
RCCMM-CF,27,0.6846754327315949,1.0006,0.0
RCCMM-CF,28,0.6872929444752541,1.0005,0.0
RCCMM-CF,29,0.6880994535462481,1.0003,0.0
RCCMM-CF,30,0.6857569516069679,1.0004,0.0
