手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
RSCCMM-CF,1,0.8416464549139476,-5.0,0
RSCCMM-CF,2,0.8476962755000332,-6.0,0
RSCCMM-CF,3,0.8465242707156623,-7.0,0
RSCCMM-CF,4,0.8487777427071567,-6.0,0
RSCCMM-CF,5,0.8489696159213237,-6.5,0
RSCCMM-CF,6,0.8482561133630142,-6.0,0
RSCCMM-CF,7,0.8488487607149977,-6.5,0
RSCCMM-CF,8,0.8490356502093164,-6.0,0
RSCCMM-CF,9,0.8482021230646554,-7.0,0
RSCCMM-CF,10,0.8500514984384345,-6.0,0
RSCCMM-CF,11,0.8502716127317429,-6.5,0
RSCCMM-CF,12,0.8495165791746961,-6.5,0
RSCCMM-CF,13,0.8510370290384743,-6.5,0
RSCCMM-CF,14,0.8495522958336101,-6.0,0
RSCCMM-CF,15,0.84961085454183,-6.5,0
RSCCMM-CF,16,0.8500103827496843,-8.5,0
RSCCMM-CF,17,0.8487465944581034,-6.0,0
RSCCMM-CF,18,0.8489168715529273,-5.0,0
RSCCMM-CF,19,0.8501632168250384,-7.0,0
RSCCMM-CF,20,0.8499526546614392,-6.5,0
RSCCMM-CF,21,0.8502263439431191,-8.0,0
RSCCMM-CF,22,0.8499825569805303,-9.0,0
RSCCMM-CF,23,0.8505261977540035,-9.0,0
RSCCMM-CF,24,0.8508829490331584,-6.5,0
RSCCMM-CF,25,0.8504821748953418,-9.0,0
RSCCMM-CF,26,0.8505270283739783,-8.5,0
RSCCMM-CF,27,0.8504107415775135,-9.0,0
RSCCMM-CF,28,0.8516168017808493,-8.5,0
RSCCMM-CF,29,0.8504954648149379,-8.0,0
RSCCMM-CF,30,0.851284969100937,-9.0,0
RSCCMM-CF,31,0.851097664296631,-9.0,0
RSCCMM-CF,32,0.8510727456973886,-9.0,0
RSCCMM-CF,33,0.8513144561100405,-9.5,0
RSCCMM-CF,34,0.8515491062529073,-8.0,0
RSCCMM-CF,35,0.8515196192438037,-9.0,0
RSCCMM-CF,36,0.8524171041265202,-9.0,0
RSCCMM-CF,37,0.851652103129776,-9.0,0
RSCCMM-CF,38,0.8519295302013423,-9.5,0
RSCCMM-CF,39,0.8518011994152435,-9.5,0
RSCCMM-CF,40,0.8517135690079076,-9.0,0
RSCCMM-CF,41,0.8516865738587281,-9.0,0
RSCCMM-CF,42,0.852412535716659,-9.0,0
RSCCMM-CF,43,0.8527082364276696,-9.0,0
RSCCMM-CF,44,0.8520570303674664,-9.0,0
RSCCMM-CF,45,0.8519731377500166,-9.5,0
RSCCMM-CF,46,0.8520632600172767,-9.5,0
RSCCMM-CF,47,0.8531247923450062,-9.0,0
RSCCMM-CF,48,0.8524740015947904,-9.5,0
RSCCMM-CF,49,0.8527805003654727,-9.5,0
RSCCMM-CF,50,0.8533627649677721,-9.5,0
RSCCMM-CF,51,0.8525408665027576,-9.5,0
RSCCMM-CF,52,0.853226543291913,-9.5,0
RSCCMM-CF,53,0.8529408100205995,-8.5,0
RSCCMM-CF,54,0.8528830819323543,-8.5,0
RSCCMM-CF,55,0.852784238155359,-9.0,0
RSCCMM-CF,56,0.8530085055485415,-9.5,0
RSCCMM-CF,57,0.8533320320287061,-9.5,0
RSCCMM-CF,58,0.8538594757126721,-9.0,0
RSCCMM-CF,59,0.8533789620572797,-9.5,0
RSCCMM-CF,60,0.853182105123264,-8.5,0
RSCCMM-CF,61,0.8531870888431126,-8.5,0
RSCCMM-CF,62,0.8531040268456376,-9.5,0
RSCCMM-CF,63,0.8533237258289587,-9.0,0
RSCCMM-CF,64,0.8536127815801715,-9.0,0
RSCCMM-CF,65,0.8533091899794005,-9.5,0
RSCCMM-CF,66,0.8537971792145658,-9.5,0
RSCCMM-CF,67,0.8534566250249187,-9.5,0
RSCCMM-CF,68,0.8531671539637184,-8.5,0
RSCCMM-CF,69,0.8542091667220413,-9.5,0
RSCCMM-CF,70,0.8535147684231511,-9.0,0
RSCCMM-CF,71,0.8539595654196294,-9.0,0
RSCCMM-CF,72,0.8540758522160941,-9.5,0
RSCCMM-CF,73,0.854309671738986,-8.5,0
RSCCMM-CF,74,0.8538507542029372,-9.5,0
RSCCMM-CF,75,0.8538104691341617,-10.0,0
RSCCMM-CF,76,0.854137733404213,-9.5,0
RSCCMM-CF,77,0.8545663333111835,-8.5,0
RSCCMM-CF,78,0.8533527975280748,-9.5,0
RSCCMM-CF,79,0.8536032294504619,-9.5,0
RSCCMM-CF,80,0.8549288989301616,-8.5,0
RSCCMM-CF,81,0.8544118379958802,-8.5,0
RSCCMM-CF,82,0.8548587115422952,-8.5,0
RSCCMM-CF,83,0.8538964383015483,-9.0,0
