手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
RSCCMM-CF,1,0.8416464549139476,-5.0,0
RSCCMM-CF,2,0.8460786430992094,-6.5,0
RSCCMM-CF,3,0.8491942986244935,-6.0,0
RSCCMM-CF,4,0.8490410492391522,-6.5,0
RSCCMM-CF,5,0.848602897202472,-6.5,0
RSCCMM-CF,6,0.8478507708153366,-6.5,0
RSCCMM-CF,7,0.8480991261877866,-6.5,0
RSCCMM-CF,8,0.8489783374310585,-6.0,0
RSCCMM-CF,9,0.8485725795733936,-7.0,0
RSCCMM-CF,10,0.8487146155890756,-6.5,0
RSCCMM-CF,11,0.8502745199016546,-6.0,0
RSCCMM-CF,12,0.8508077779254435,-6.0,0
RSCCMM-CF,13,0.8512151970230579,-6.0,0
RSCCMM-CF,14,0.8493222141006047,-6.5,0
RSCCMM-CF,15,0.8503658880988769,-6.5,0
RSCCMM-CF,16,0.8498999102930427,-6.0,0
RSCCMM-CF,17,0.8502554156422353,-6.5,0
RSCCMM-CF,18,0.849236244933218,-6.5,0
RSCCMM-CF,19,0.8501532493853411,-8.5,0
RSCCMM-CF,20,0.8492121569539505,-9.0,0
RSCCMM-CF,21,0.8499422719117551,-6.5,0
RSCCMM-CF,22,0.8505507010432586,-9.0,0
RSCCMM-CF,23,0.8511790650541565,-8.5,0
RSCCMM-CF,24,0.8495518805236228,-9.0,0
RSCCMM-CF,25,0.8505610837929429,-5.0,0
RSCCMM-CF,26,0.8505768655724634,-9.5,0
RSCCMM-CF,27,0.850352598179281,-9.0,0
RSCCMM-CF,28,0.8507961492457972,-9.0,0
RSCCMM-CF,29,0.8503754402285866,-9.0,0
RSCCMM-CF,30,0.8506383314505948,-9.5,0
RSCCMM-CF,31,0.8509826234301283,-9.0,0
RSCCMM-CF,32,0.850630855870822,-9.5,0
RSCCMM-CF,33,0.8507284537178551,-8.5,0
RSCCMM-CF,34,0.8510295534587016,-8.0,0
RSCCMM-CF,35,0.8516699614592331,-6.0,0
RSCCMM-CF,36,0.8510918499568078,-9.0,0
RSCCMM-CF,37,0.8514348960063792,-9.0,0
RSCCMM-CF,38,0.8518755399029836,-8.5,0
RSCCMM-CF,39,0.8522970795401686,-8.5,0
RSCCMM-CF,40,0.8522048807229717,-9.5,0
RSCCMM-CF,41,0.8521417536048908,-9.0,0
RSCCMM-CF,42,0.8523041398099542,-8.5,0
RSCCMM-CF,43,0.8518643265333244,-9.0,0
RSCCMM-CF,44,0.8519129178018472,-8.5,0
RSCCMM-CF,45,0.8528415509336169,-9.5,0
RSCCMM-CF,46,0.85279835869493,-9.0,0
RSCCMM-CF,47,0.8527900524951825,-8.5,0
RSCCMM-CF,48,0.8528876503422154,-9.0,0
RSCCMM-CF,49,0.852792959665094,-9.0,0
RSCCMM-CF,50,0.8528481958934149,-9.5,0
RSCCMM-CF,51,0.8524021529669745,-8.5,0
RSCCMM-CF,52,0.8526247591202072,-8.5,0
RSCCMM-CF,53,0.8525662004119875,-9.5,0
RSCCMM-CF,54,0.8531027809156756,-9.5,0
RSCCMM-CF,55,0.8530097514785036,-9.0,0
RSCCMM-CF,56,0.8543694763771679,-8.5,0
RSCCMM-CF,57,0.8536198418499568,-8.5,0
RSCCMM-CF,58,0.8537286530666488,-8.5,0
RSCCMM-CF,59,0.8540185394378363,-9.0,0
RSCCMM-CF,60,0.8530919828560037,-9.5,0
RSCCMM-CF,61,0.8530355006977208,-9.0,0
RSCCMM-CF,62,0.8536468369991361,-8.5,0
RSCCMM-CF,63,0.8538229284337829,-9.0,0
RSCCMM-CF,64,0.8530429762774936,-9.5,0
RSCCMM-CF,65,0.8534180011960928,-8.5,0
RSCCMM-CF,66,0.8541252741045916,-9.0,0
RSCCMM-CF,67,0.8535758189912951,-8.5,0
RSCCMM-CF,68,0.8534960794737193,-9.0,0
RSCCMM-CF,69,0.8543013655392384,-9.0,0
RSCCMM-CF,70,0.8539167884909296,-9.5,0
RSCCMM-CF,71,0.8538798259020532,-9.5,0
RSCCMM-CF,72,0.8536742474583029,-9.0,0
RSCCMM-CF,73,0.8543304372383549,-8.5,0
RSCCMM-CF,74,0.8539358927503489,-8.5,0
RSCCMM-CF,75,0.8541493620838594,-9.0,0
RSCCMM-CF,76,0.8540621469865108,-9.5,0
RSCCMM-CF,77,0.854306349259087,-9.0,0
RSCCMM-CF,78,0.8539807462289852,-8.5,0
RSCCMM-CF,79,0.8537224234168382,-9.0,0
RSCCMM-CF,80,0.8542727091501096,-8.5,0
RSCCMM-CF,81,0.8546107714798324,-9.5,0
RSCCMM-CF,82,0.8539350621303742,-9.5,0
RSCCMM-CF,83,0.8545858528805901,-9.5,0
